('cinl', 'le'): 1.0
('oel', 'wtspc'): 0.6666666666666666
('eatt', 'l'): 0.6666666666666666
('pag', 'ne'): 0.6666666666666666
('eier', 'mark'): 0.6666666666666666
('iei', 'ra'): 0.6666666666666666
('lej', 'wtspc'): 0.6666666666666666
('kulp', 'lu'): 0.6666666666666666
('xel', 'la'): 0.6666666666666666
('lamy', 'd'): 0.6666666666666666
('ekst', 'ra'): 0.6666666666666666
('dc', 'wtspc'): 0.6666666666666666
('oos', 'por'): 0.6666666666666666
('xo', 'dus'): 0.6666666666666666
('tc', 'pip'): 0.6666666666666666
('work', 'wtspc'): 0.6666666666666666
('dsp', 'den'): 0.6666666666666666
('euc', 'ha'): 0.6666666666666666
('hons', 'hu'): 0.6666666666666666
('ldp', 'wtspc'): 0.6666666666666666
('ritm', 'le'): 0.6666666666666666
('lenc', 'hos'): 0.6666666666666666
('deks', 'le'): 0.6666666666666666
('tip', 'wtspc'): 0.6651162790697674
('bul', 'wtspc'): 0.6633663366336634
('mah', 'ke'): 0.6631016042780749
('uz', 'man'): 0.6629213483146067
('tep', 'ki'): 0.6612903225806451
('lel', 'wtspc'): 0.6607142857142857
('rer', 'wtspc'): 0.6592592592592592
('oor', 'di'): 0.6590909090909091
('aat', 'wtspc'): 0.6582278481012658
('and', 'wtspc'): 0.6578947368421053
('gay', 'ri'): 0.6578947368421053
('ied', 'rich'): 0.6571428571428571
('soy', 'le'): 0.65625
('burg', 'wtspc'): 0.65625
('cat', 'wtspc'): 0.6545454545454545
('tad', 'yu'): 0.654320987654321
('iam', 'wtspc'): 0.6538461538461539
('gim', 'siz'): 0.6538461538461539
('sam', 'pi'): 0.6535087719298246
('sid', 'det'): 0.651685393258427
('aus', 'tu'): 0.6511627906976745
('mum', 'kun'): 0.6507177033492823
('vek', 'to'): 0.65
('gok', 'wtspc'): 0.648936170212766
('sic', 'wtspc'): 0.6486486486486487
('nuk', 'l'): 0.6481481481481481
('uar', 'wtspc'): 0.6470588235294118
('ins', 'ti'): 0.6470588235294118
('gum', 'wtspc'): 0.6458333333333334
('rek', 'wtspc'): 0.6451818761965539
('tik', 'wtspc'): 0.6445652173913043
('hur', 'bas'): 0.6439169139465876
('lur', 'endsntnc'): 0.6430107526881721
('mog', 'ra'): 0.6428571428571429
('luc', 'wtspc'): 0.6428571428571429
('gat', 'wtspc'): 0.6428571428571429
('zik', 'wtspc'): 0.6424474187380497
('kul', 'la'): 0.6419965576592083
('ja', 'pon'): 0.6419753086419753
('bak', 'te'): 0.6413043478260869
('mik', 'wtspc'): 0.6410256410256411
('mans', 'wtspc'): 0.6410256410256411
('dos', 'ya'): 0.6395348837209303
('ust', 'wtspc'): 0.638095238095238
('buz', 'wtspc'): 0.6376811594202898
('sas', 'wtspc'): 0.6372549019607843
('iut', 'lar'): 0.6363636363636364
('park', 'wtspc'): 0.6363636363636364
('teks', 'til'): 0.6363636363636364
('fun', 'wtspc'): 0.6363636363636364
('coz', 'me'): 0.6363636363636364
('nub', 'ya'): 0.6363636363636364
('eat', 'wtspc'): 0.6363636363636364
('aid', 'wtspc'): 0.6363636363636364
('eos', 'wtspc'): 0.6363636363636364
('eop', 'las'): 0.6363636363636364
('dans', 'wtspc'): 0.6296296296296297
('eor', 'ge'): 0.6296296296296297
('yum', 'wtspc'): 0.6289308176100629
('lak', 'wtspc'): 0.627906976744186
('tun', 'wtspc'): 0.6266891891891891
('cen', 'giz'): 0.6257197696737045
('bad', 'wtspc'): 0.625
('zevk', 'wtspc'): 0.625
('bog', 'da'): 0.625
('raj', 'wtspc'): 0.625
('nest', 'wtspc'): 0.625
('kurs', 'la'): 0.625
('wel', 'lin'): 0.625
('phy', 'si'): 0.625
('sith', 'wtspc'): 0.625
('oung', 'wtspc'): 0.625
('maf', 'ya'): 0.625
('mily', 'wtspc'): 0.625
('cc', 'wtspc'): 0.625
('int', 'ra'): 0.625
('aen', 'wtspc'): 0.625
('sscb', 'wtspc'): 0.625
('gik', 'li'): 0.625
('ront', 'ge'): 0.625
('rad', 'yo'): 0.6241610738255033
('pin', 'da'): 0.6229508196721312
('kun', 'wtspc'): 0.6223958333333334
('mm', 'wtspc'): 0.6206896551724138
('zat', 'wtspc'): 0.62
('lah', 'wtspc'): 0.6196319018404908
('iirt', 'wtspc'): 0.6190476190476191
('buk', 'wtspc'): 0.6190476190476191
('ih', 'ti'): 0.6188118811881188
('ton', 'wtspc'): 0.6186186186186187
('homsky', 'wtspc'): 0.6179775280898876
('hin', 'de'): 0.6157337367624811
('lep', 'wtspc'): 0.6153846153846154
('tbmm', 'wtspc'): 0.6153846153846154
('cins', 'wtspc'): 0.6153846153846154
('ean', 'wtspc'): 0.6136363636363636
('cog', 'raf'): 0.6129032258064516
('turk', 'wtspc'): 0.6118760757314974
('ios', 'wtspc'): 0.6111111111111112
('de', 'wtspc'): 0.6088103651354535
('gold', 'bach'): 0.6086956521739131
('kirk', 'wtspc'): 0.6086956521739131
('mc', 'la'): 0.6086956521739131
('tiy', 'le'): 0.6071428571428571
('hon', 'wtspc'): 0.6071428571428571
('fen', 'di'): 0.6065573770491803
('lif', 'wtspc'): 0.6060606060606061
('dep', 'rem'): 0.6052631578947368
('biz', 'wtspc'): 0.6046511627906976
('ren', 'wtspc'): 0.604261796042618
('hen', 'dis'): 0.6018957345971564
('aii', 'wtspc'): 0.6
('tirt', 'ti'): 0.6
('song', 'wtspc'): 0.6
('eon', 'wtspc'): 0.6
('koln', 'wtspc'): 0.6
('rov', 'wtspc'): 0.6
('bok', 'sor'): 0.6
('eal', 'wtspc'): 0.6
('dem', 'wtspc'): 0.6
('pel', 'wtspc'): 0.6
('witt', 'gens'): 0.6
('ruck', 'wtspc'): 0.6
('hod', 'wtspc'): 0.6
('bang', 'wtspc'): 0.6
('sand', 'ro'): 0.6
('dokt', 'rin'): 0.6
('rest', 'wtspc'): 0.6
('faf', 'wtspc'): 0.6
('sity', 'wtspc'): 0.6
('pav', 'lov'): 0.6
('lov', 'wtspc'): 0.6
('rant', 'wtspc'): 0.6
('fev', 'zi'): 0.6
('gsmh', 'si'): 0.6
('wells', 'wtspc'): 0.6
('puc', 'la'): 0.6
('oet', 'he'): 0.6
('vich', 'wtspc'): 0.6
('ress', 'wtspc'): 0.6
('tank', 'wtspc'): 0.6
('sbkfk', 'nin'): 0.6
('mdd', 'ci'): 0.6
('jet', 'wtspc'): 0.6
('dp', 'wtspc'): 0.6
('gert', 'wtspc'): 0.6
('pyt', 'hon'): 0.6
('ped', 'wtspc'): 0.6
('atv', 'de'): 0.6
('lands', 'wtspc'): 0.6
('left', 'most'): 0.6
('dard', 'wtspc'): 0.6
('dry', 'den'): 0.6
('yez', 'dan'): 0.6
('iis', 'wtspc'): 0.6
('uez', 'zin'): 0.6
('rong', 'wtspc'): 0.6
('eath', 'wtspc'): 0.6
('jor', 'wtspc'): 0.6
('mop', 'hi'): 0.6
('gow', 'wtspc'): 0.6
('hok', 'k'): 0.6
('mant', 'ha'): 0.6
('uc', 'wtspc'): 0.599647266313933
('ic', 'wtspc'): 0.5991561181434599
('yuk', 'wtspc'): 0.5986020968547179
('rog', 'ram'): 0.5983827493261455
('gus', 'tos'): 0.5964912280701754
('tib', 'bi'): 0.5964912280701754
('viz', 'yon'): 0.5957446808510638
('op', 'tik'): 0.5945945945945946
('wil', 'l'): 0.594059405940594
('mam', 'la'): 0.592964824120603
('alt', 'wtspc'): 0.5920398009950248
('mond', 'ros'): 0.5909090909090909
('nom', 'wtspc'): 0.5901639344262295
('sen', 'wtspc'): 0.5899772209567198
('mev', 'cut'): 0.5899581589958159
('bug', 'day'): 0.5897435897435898
('mic', 'ro'): 0.5888888888888889
('lan', 'wtspc'): 0.5887457627118644
('test', 'wtspc'): 0.5873015873015873
('bep', 'wtspc'): 0.5864661654135338
('cuk', 'wtspc'): 0.5862913096695227
('yik', 'wtspc'): 0.5853658536585366
('chp', 'wtspc'): 0.5853658536585366
('mok', 'ra'): 0.5851851851851851
('reh', 'ber'): 0.5833333333333334
('uaz', 'zam'): 0.5833333333333334
('lub', 'wtspc'): 0.5833333333333334
('eb', 'wtspc'): 0.5833333333333334
('rir', 'endsntnc'): 0.5829383886255924
('num', 'wtspc'): 0.5819672131147541
('cay', 'wtspc'): 0.5818181818181818
('yus', 'wtspc'): 0.58
('san', 'wtspc'): 0.579415501905972
('yer', 'wtspc'): 0.5789849892780558
('aa', 'li'): 0.5784615384615385
('ger', 'wtspc'): 0.5784518828451883
('zer', 'wtspc'): 0.5777777777777777
('miy', 'la'): 0.5769230769230769
('sik', 'wtspc'): 0.5755053507728894
('pit', 'wtspc'): 0.5747126436781609
('men', 'wtspc'): 0.573921028466483
('iat', 'wtspc'): 0.5714285714285714
('dist', 'wtspc'): 0.5714285714285714
('sony', 'wtspc'): 0.5714285714285714
('yac', 'wtspc'): 0.5714285714285714
('tist', 'wtspc'): 0.5714285714285714
('jer', 'sey'): 0.5714285714285714
('leb', 'wtspc'): 0.5714285714285714
('fkf', 'wtspc'): 0.5714285714285714
('wis', 'wtspc'): 0.5714285714285714
('roz', 'wtspc'): 0.5714285714285714
('tud', 'yo'): 0.5714285714285714
('sort', 'wtspc'): 0.5714285714285714
('out', 'wtspc'): 0.5714285714285714
('luv', 'yon'): 0.5714285714285714
('talt', 'wtspc'): 0.5714285714285714
('sinc', 'wtspc'): 0.5714285714285714
('put', 'wtspc'): 0.5714285714285714
('zanc', 'wtspc'): 0.5714285714285714
('vers', 'wtspc'): 0.5714285714285714
('disk', 'wtspc'): 0.5714285714285714
('oik', 'wtspc'): 0.5714285714285714
('zel', 'lik'): 0.570884871550904
('miz', 'wtspc'): 0.5706806282722513
('cep', 'he'): 0.5701754385964912
('tet', 'kik'): 0.5675675675675675
('cul', 'wtspc'): 0.5675675675675675
('gos', 'te'): 0.5670650730411687
('ler', 'wtspc'): 0.565078093712455
('na', 'wtspc'): 0.5647275235686364
('rup', 'wtspc'): 0.5645161290322581
('kad', 'ro'): 0.5645161290322581
('cel', 'wtspc'): 0.5631067961165048
('nel', 'wtspc'): 0.5629370629370629
('zih', 'ni'): 0.5625
('vis', 'wtspc'): 0.5609756097560976
('vaz', 'ge'): 0.5609756097560976
('cit', 'wtspc'): 0.56
('dum', 'wtspc'): 0.5588235294117647
('siz', 'wtspc'): 0.5586272640610105
('lar', 'wtspc'): 0.5571464143426295
('aal', 'wtspc'): 0.5555555555555556
('hut', 'wtspc'): 0.5555555555555556
('tev', 'fik'): 0.5555555555555556
('ning', 'wtspc'): 0.5555555555555556
('ziy', 'la'): 0.5555555555555556
('hiy', 'le'): 0.5555555555555556
('ions', 'wtspc'): 0.5555555555555556
('back', 'wtspc'): 0.5555555555555556
('kep', 'ler'): 0.5555555555555556
('iem', 'per'): 0.5555555555555556
('vif', 'wtspc'): 0.5555555555555556
('kit', 'le'): 0.5517241379310345
('mek', 'te'): 0.5490822027134876
('nor', 'mal'): 0.5486111111111112
('nes', 'wtspc'): 0.5471698113207547
('vec', 'wtspc'): 0.5454545454545454
('cuz', 'wtspc'): 0.5454545454545454
('xan', 'der'): 0.5454545454545454
('bob', 'rek'): 0.5454545454545454
('bern', 'wtspc'): 0.5454545454545454
('zas', 'yon'): 0.5444444444444444
('mir', 'wtspc'): 0.5444015444015444
('vas', 'wtspc'): 0.5441527446300716
('len', 'wtspc'): 0.5440281780339418
('ia', 'wtspc'): 0.5433333333333333
('cilt', 'wtspc'): 0.5428571428571428
('mis', 'tir'): 0.5416666666666666
('tot', 'la'): 0.5416666666666666
('ber', 'wtspc'): 0.5414746543778802
('yah', 'wtspc'): 0.5408163265306123
('sit', 'li'): 0.5404454865181711
('kont', 'rol'): 0.5401459854014599
('dur', 'endsntnc'): 0.5387168141592921
('kek', 'wtspc'): 0.5384615384615384
('iil', 'wtspc'): 0.5384615384615384
('fiz', 'yo'): 0.5384615384615384
('ood', 'wtspc'): 0.5384615384615384
('by', 'zan'): 0.5384615384615384
('kerry', 'wtspc'): 0.5384615384615384
('pes', 'te'): 0.5384615384615384
('tig', 'ris'): 0.5384615384615384
('deg', 'me'): 0.5384615384615384
('teh', 'li'): 0.5373134328358209
('gic', 'wtspc'): 0.5362318840579711
('tin', 'wtspc'): 0.5361488904795991
('med', 'wtspc'): 0.5347222222222222
('fik', 'wtspc'): 0.5340314136125655
('gah', 'wtspc'): 0.5333333333333333
('hing', 'ton'): 0.5333333333333333
('lor', 'du'): 0.5333333333333333
('amb', 'lem'): 0.5333333333333333
('haw', 'kins'): 0.5333333333333333
('mag', 'lup'): 0.5324675324675324
('kat', 'wtspc'): 0.5313807531380753
('port', 're'): 0.5306122448979592
('cam', 'wtspc'): 0.5306122448979592
('uy', 'gu'): 0.5282776349614395
('nah', 'tar'): 0.5277777777777778
('lik', 'wtspc'): 0.5267188859878155
('eog', 'ra'): 0.5263157894736842
('guy', 'la'): 0.5263157894736842
('kort', 'wtspc'): 0.5263157894736842
('nem', 'li'): 0.5258358662613982
('bin', 'wtspc'): 0.5254237288135594
('bil', 'gi'): 0.5247776365946633
('yif', 'wtspc'): 0.5238095238095238
('siy', 'la'): 0.5235148514851485
('nur', 'endsntnc'): 0.5235109717868338
('ey', 'lul'): 0.5228215767634855
('vil', 'wtspc'): 0.5227272727272727
('ne', 'wtspc'): 0.5226419031719532
('vol', 'ka'): 0.5217391304347826
('lekt', 'ro'): 0.5211267605633803
('cip', 'wtspc'): 0.5208333333333334
('nez', 'ya'): 0.52
('ant', 'las'): 0.5195530726256983
('sif', 'wtspc'): 0.5194805194805194
('rist', 'wtspc'): 0.5185185185185185
('rep', 'to'): 0.5185185185185185
('hip', 'wtspc'): 0.5184615384615384
('ig', 'ne'): 0.5172413793103449
('luk', 'wtspc'): 0.5159362549800797
('lit', 'wtspc'): 0.5154639175257731
('rin', 'wtspc'): 0.5153717826501429
('lir', 'endsntnc'): 0.5146559703795125
('yul', 'ma'): 0.5142857142857142
('laf', 'wtspc'): 0.5128205128205128
('sag', 'la'): 0.5109756097560976
('tug', 'rul'): 0.5098039215686274
('nog', 'lu'): 0.5094339622641509
('ier', 'wtspc'): 0.509090909090909
('mus', 'tur'): 0.5089149261334692
('rast', 'la'): 0.5086206896551724
('gon', 'de'): 0.5086206896551724
('hey', 'kel'): 0.5084745762711864
('bol', 'ge'): 0.5082508250825083
('das', 'wtspc'): 0.5080213903743316
('nif', 'lan'): 0.5080213903743316
('hun', 'wtspc'): 0.5068493150684932
('dip', 'wtspc'): 0.5060240963855421
('rar', 'wtspc'): 0.5052473763118441
('mec', 'li'): 0.5052083333333334
('rim', 'wtspc'): 0.5041666666666667
('muz', 'de'): 0.5037593984962406
('zun', 'wtspc'): 0.5026086956521739
('hic', 'bir'): 0.5025906735751295
('yor', 'du'): 0.5020964360587002
('zey', 'wtspc'): 0.502
('es', 'ki'): 0.5009920634920635
('ceng', 'his'): 0.5
('ong', 'gi'): 0.5
('goc', 'wtspc'): 0.5
('mot', 'wtspc'): 0.5
('ong', 'wtspc'): 0.5
('wang', 'wtspc'): 0.5
('wang', 'han'): 0.5
('ik', 'ti'): 0.5
('ruh', 'wtspc'): 0.5
('eao', 'wtspc'): 0.5
('uang', 'wtspc'): 0.5
('iao', 'wtspc'): 0.5
('tanc', 'la'): 0.5
('iao', 'nun'): 0.5
('eao', 'dong'): 0.5
('pog', 'raf'): 0.5
('kand', 'wtspc'): 0.5
('dudd', 'ne'): 0.5
('veyn', 'wtspc'): 0.5
('tuf', 'kar'): 0.5
('eart', 'wtspc'): 0.5
('duy', 'gu'): 0.5
('larn', 'wtspc'): 0.5
('van', 'wtspc'): 0.5
('xf', 'r'): 0.5
('xf', 'ce'): 0.5
('hug', 'hes'): 0.5
('hug', 'he'): 0.5
('esp', 'ri'): 0.5
('rasp', 'berry'): 0.5
('sankt', 'wtspc'): 0.5
('cars', 'ki'): 0.5
('marks', 'endsntnc'): 0.5
('marks', 'wtspc'): 0.5
('telst', 'ras'): 0.5
('tork', 'lub'): 0.5
('news', 'wtspc'): 0.5
('kirp', 'ma'): 0.5
('rank', 'wtspc'): 0.5
('mehr', 'wert'): 0.5
('mim', 'wtspc'): 0.5
('syl', 'v'): 0.5
('tuz', 'wtspc'): 0.5
('uet', 'wtspc'): 0.5
('pot', 'wtspc'): 0.5
('tungs', 'we'): 0.5
('mulk', 'wtspc'): 0.5
('serf', 'li'): 0.5
('fekt', 'le'): 0.5
('yog', 'lu'): 0.5
('hit', 'wtspc'): 0.5
('kak', 'wtspc'): 0.5
('sab', 'ri'): 0.5
('semt', 'le'): 0.5
('cs', 'wtspc'): 0.5
('old', 'ham'): 0.5
('uin', 'ness'): 0.5
('tt', 'net'): 0.5
('uark', 'wtspc'): 0.5
('hif', 'zi'): 0.5
('rass', 'wtspc'): 0.5
('jans', 'wtspc'): 0.5
('ez', 'gi'): 0.5
('reb', 'wtspc'): 0.5
('eiss', 'le'): 0.5
('notr', 'les'): 0.5
('hid', 'ro'): 0.5
('bon', 'wtspc'): 0.5
('iir', 'wtspc'): 0.5
('ged', 'ya'): 0.5
('hyp', 's'): 0.5
('joy', 'c'): 0.5
('iant', 'wtspc'): 0.5
('hund', 'wtspc'): 0.5
('vinc', 'le'): 0.5
('gens', 't'): 0.5
('rasp', 'rac'): 0.5
('eaf', 'wtspc'): 0.5
('eiss', 'ma'): 0.5
('jack', 'wtspc'): 0.5
('fem', 'ler'): 0.5
('hyd', 'rog'): 0.5
('dac', 'ha'): 0.5
('dend', 'ro'): 0.5
('lerc', 'wtspc'): 0.5
('uark', 'lar'): 0.5
('eak', 'si'): 0.5
('daj', 'endsntnc'): 0.5
('bex', 'wtspc'): 0.5
('pint', 'ro'): 0.5
('lans', 'wtspc'): 0.5
('pon', 'ya'): 0.5
('tij', 'wtspc'): 0.5
('gab', 'r'): 0.5
('gh', 'wtspc'): 0.5
('hh', 'wtspc'): 0.5
('zarf', 'la'): 0.5
('roj', 'wtspc'): 0.5
('iun', 'endsntnc'): 0.5
('jes', 'wtspc'): 0.5
('uae', 'wtspc'): 0.5
('kaj', 'wtspc'): 0.5
('kaj', 'to'): 0.5
('nic', 'wtspc'): 0.5
('aog', 're'): 0.5
('ht', 'mus'): 0.5
('ht', 'mad'): 0.5
('uizm', 'de'): 0.5
('ft', 'endsntnc'): 0.5
('nev', 're'): 0.5
('inc', 'wtspc'): 0.5
('kg', 'wtspc'): 0.5
('bc', 'wtspc'): 0.5
('xand', 're'): 0.5
('sankt', 'pe'): 0.5
('norm', 'lar'): 0.5
('uae', 'dem'): 0.5
('uit', 'wtspc'): 0.5
('law', 'wtspc'): 0.5
('kashyyyk', 'te'): 0.5
('hew', 'bac'): 0.5
('kashyyyk', 'ten'): 0.5
('cant', 'ta'): 0.5
('egypt', 'wtspc'): 0.5
('qa', 'da'): 0.5
('tawy', 'ye'): 0.5
('tawy', 'den'): 0.5
('punt', 'lan'): 0.5
('nelt', 'ti'): 0.5
('ioc', 'le'): 0.5
('pinc', 'wtspc'): 0.5
('yaf', 'wtspc'): 0.5
('hoth', 'endsntnc'): 0.5
('punt', 'la'): 0.5
('oas', 'ya'): 0.5
('bust', 'le'): 0.5
('cig', 'wtspc'): 0.5
('pinc', 'la'): 0.5
('gom', 'me'): 0.5
('egypt', 'tur'): 0.5
('eks', 'lav'): 0.5
('turc', 'h'): 0.5
('turc', 'me'): 0.5
('aet', 'ye'): 0.5
('ft', 'wtspc'): 0.5
('nav', 'la'): 0.5
('very', 'way'): 0.5
('maj', 'lar'): 0.5
('tob', 'ruk'): 0.5
('hev', 'wtspc'): 0.5
('lih', 'wtspc'): 0.5
('sass', 'wtspc'): 0.5
('karls', 'ba'): 0.5
('dirt', 'mis'): 0.5
('jonk', 'tur'): 0.5
('aip', 'ten'): 0.5
('vinc', 'wtspc'): 0.5
('bust', 'wtspc'): 0.5
('karls', 'bad'): 0.5
('vw', 'porsc'): 0.5
('ault', 'tan'): 0.5
('ouc', 'he'): 0.5
('aust', 'wtspc'): 0.5
('hyp', 'he'): 0.5
('tuh', 'fe'): 0.5
('iik', 'lim'): 0.5
('ank', 'lav'): 0.5
('lerc', 'hin'): 0.5
('hyr', 'ka'): 0.5
('hyr', 'kan'): 0.5
('cob', 'so'): 0.5
('cob', 'son'): 0.5
('gew', 'ri'): 0.5
('gew', 'ran'): 0.5
('kej', 'wtspc'): 0.5
('kej', 'nin'): 0.5
('ians', 'rikl'): 0.5
('dels', 'endsntnc'): 0.5
('iew', 'endsntnc'): 0.5
('vor', 'mun'): 0.5
('velt', 'den'): 0.5
('nedy', 'wtspc'): 0.5
('news', 'w'): 0.5
('eek', 'endsntnc'): 0.5
('koh', 'ne'): 0.5
('dast', 'ro'): 0.5
('aag', 'ca'): 0.5
('dac', 'wtspc'): 0.5
('hill', 'de'): 0.5
('tanc', 'wtspc'): 0.5
('vos', 'wtspc'): 0.5
('hh', 'ya'): 0.5
('tef', 'ri'): 0.5
('kuf', 'wtspc'): 0.5
('nigs', 'ber'): 0.5
('baby', 'wtspc'): 0.5
('gall', 'den'): 0.5
('baby', 'sit'): 0.5
('bass', 'wtspc'): 0.5
('uev', 'le'): 0.5
('yes', 'wtspc'): 0.5
('pot', 'bo'): 0.5
('tag', 'fu'): 0.5
('erk', 'men'): 0.5
('doy', 'mus'): 0.5
('johns', 'ton'): 0.5
('ced', 'din'): 0.5
('aet', 'me'): 0.5
('bed', 'wtspc'): 0.5
('hob', 'bes'): 0.5
('nedy', 'nin'): 0.5
('iant', 'ro'): 0.5
('aig', 'ne'): 0.5
('hund', 'red'): 0.5
('zah', 'wtspc'): 0.5
('pap', 'wtspc'): 0.5
('tuf', 'wtspc'): 0.5
('dest', 'bo'): 0.5
('sog', 'lu'): 0.5
('doc', 'endsntnc'): 0.5
('gurt', 'len'): 0.5
('daj', 'lar'): 0.5
('dov', 'me'): 0.5
('fig', 'wtspc'): 0.5
('bby', 'wtspc'): 0.5
('bby', 'dan'): 0.5
('iot', 'to'): 0.5
('ians', 'wtspc'): 0.5
('pod', 'ro'): 0.5
('lod', 'ro'): 0.5
('wift', 'tir'): 0.5
('iaf', 'wtspc'): 0.5
('aip', 'wtspc'): 0.5
('syn', 'ta'): 0.5
('xis', 'wtspc'): 0.5
('punk', 'tur'): 0.5
('hutc', 'hin'): 0.5
('cez', 'bet'): 0.5
('daw', 'kins'): 0.5
('arch', 'ke'): 0.5
('eum', 'wtspc'): 0.5
('dend', 'rok'): 0.5
('jar', 'ne'): 0.5
('oust', 'rup'): 0.5
('ieu', 'wtspc'): 0.5
('teg', 're'): 0.5
('bex', 'ten'): 0.5
('htm', 'lin'): 0.5
('yaj', 'lan'): 0.5
('vab', 'le'): 0.5
('dins', 'por'): 0.5
('gh', 'endsntnc'): 0.5
('oat', 'wtspc'): 0.5
('mers', 'f'): 0.5
('lanc', 'wtspc'): 0.5
('arch', 'wtspc'): 0.5
('hob', 'bit'): 0.5
('very', 'wtspc'): 0.5
('pig', 'ment'): 0.5
('eed', 'back'): 0.5
('oen', 'for'): 0.5
('tork', 'wtspc'): 0.5
('kef', 'ren'): 0.5
('hoth', 'wtspc'): 0.5
('np', 'dir'): 0.5
('htm', 'endsntnc'): 0.5
('hev', 'ro'): 0.5
('sulm', 'wtspc'): 0.5
('sulm', 'da'): 0.5
('yaj', 'wtspc'): 0.5
('vw', 'wtspc'): 0.5
('tt', 'wtspc'): 0.5
('seg', 'men'): 0.5
('lerk', 'la'): 0.5
('fert', 'ler'): 0.5
('long', 'wtspc'): 0.5
('keys', 'wtspc'): 0.5
('huck', 'le'): 0.5
('saw', 'yer'): 0.5
('oat', 'hing'): 0.5
('notr', 'dur'): 0.5
('pont', 'lu'): 0.5
('dirp', 'la'): 0.5
('eiz', 'mi'): 0.5
('zart', 'tan'): 0.5
('uf', 'le'): 0.5
('bask', 'lar'): 0.5
('vens', 'to'): 0.5
('sax', 'ma'): 0.5
('oar', 'ci'): 0.5
('aund', 'funk'): 0.5
('semb', 'ler'): 0.5
('temps', 'to'): 0.5
('inst', 'ruc'): 0.5
('ninc', 'wtspc'): 0.5
('hift', 'wtspc'): 0.5
('hift', 'endsntnc'): 0.5
('jv', 'me'): 0.5
('jv', 'min'): 0.5
('yard', 'da'): 0.5
('fuk', 'lar'): 0.5
('mers', 'por'): 0.5
('sass', 'po'): 0.5
('cury', 'dir'): 0.5
('hert', 'zi'): 0.5
('cury', 'wtspc'): 0.5
('hert', 'zin'): 0.5
('gall', 'wtspc'): 0.5
('hill', 'wtspc'): 0.5
('sr', 'endsntnc'): 0.5
('sr', 'wtspc'): 0.5
('keys', 'to'): 0.5
('long', 'j'): 0.5
('pont', 'darc'): 0.5
('wet', 'wtspc'): 0.5
('won', 'der'): 0.5
('jans', 'la'): 0.5
('cec', 'rist'): 0.5
('iom', 'ba'): 0.5
('uev', 'ler'): 0.5
('lumb', 're'): 0.5
('qu', 'wtspc'): 0.5
('aag', 'ri'): 0.5
('sems', 'y'): 0.5
('vend', 'ler'): 0.5
('taz', 'wtspc'): 0.5
('fazl', 'wtspc'): 0.5
('rud', 'din'): 0.5
('panth', 'o'): 0.5
('dudd', 'n'): 0.5
('sems', 'dd'): 0.5
('dd', 'n'): 0.5
('rud', 'dun'): 0.5
('gasp', 'wtspc'): 0.5
('mav', 'yi'): 0.5
('mif', 'tah'): 0.5
('tuh', 'fet'): 0.5
('fazl', 'l'): 0.5
('cedd', 'n'): 0.5
('cedd', 'nin'): 0.5
('dd', 'ni'): 0.5
('larn', 'dan'): 0.5
('mehr', 'dad'): 0.5
('mihr', 'g'): 0.5
('mihr', 'wtspc'): 0.5
('dest', 'wtspc'): 0.5
('limt', 'ten'): 0.5
('limt', 'wtspc'): 0.5
('tils', 'wtspc'): 0.5
('tils', 'den'): 0.5
('eutz', 'fahr'): 0.5
('wol', 'ke'): 0.5
('spy', 'der'): 0.5
('pod', 'yum'): 0.5
('ouc', 'hut'): 0.5
('night', 'fall'): 0.5
('hoff', 'mann'): 0.5
('eas', 'wtspc'): 0.5
('rech', 'tin'): 0.5
('cez', 'mi'): 0.5
('darp', 'ha'): 0.5
('eft', 'wtspc'): 0.5
('eft', 'yi'): 0.5
('mav', 'ro'): 0.5
('ceng', 'li'): 0.5
('cib', 'dir'): 0.5
('cib', 'wtspc'): 0.5
('func', 't'): 0.5
('iaf', 'ra'): 0.5
('fem', 'le'): 0.5
('marc', 'wtspc'): 0.5
('iew', 'de'): 0.5
('homsk', 'yi'): 0.5
('nelt', 'me'): 0.5
('eit', 'wtspc'): 0.5
('dels', 'wtspc'): 0.5
('ked', 'wtspc'): 0.5
('aust', 'ra'): 0.5
('cec', 'raft'): 0.5
('rect', 'wtspc'): 0.5
('kef', 'se'): 0.5
('cars', 'lan'): 0.5
('doy', 'ma'): 0.5
('rass', 'po'): 0.5
('eed', 'wtspc'): 0.5
('riff', 'ler'): 0.5
('lock', 'wtspc'): 0.5
('cant', 'wtspc'): 0.5
('oul', 'wtspc'): 0.5
('ked', 'hands'): 0.5
('lod', 'ra'): 0.5
('sing', 'le'): 0.5
('dirt', 're'): 0.5
('oul', 'li'): 0.5
('aur', 'wtspc'): 0.5
('np', 'wtspc'): 0.5
('ninc', 'pu'): 0.5
('jis', 'tik'): 0.5
('iom', 'pa'): 0.5
('reg', 'res'): 0.5
('uor', 'ne'): 0.5
('tevk', 'endsntnc'): 0.5
('tevk', 'wtspc'): 0.5
('ock', 'ha'): 0.5
('ock', 'ham'): 0.5
('wet', 'te'): 0.5
('vens', 'wtspc'): 0.5
('sax', 'wtspc'): 0.5
('dy', 'nasty'): 0.5
('yard', 'wtspc'): 0.5
('lanc', 'kin'): 0.5
('zart', 'wtspc'): 0.5
('dut', 'wtspc'): 0.5
('ced', 'wtspc'): 0.5
('velt', 'wtspc'): 0.5
